config_name,question,ground_truth,answer,ttft_seconds,total_seconds,token_count,tokens_per_second,faithfulness,answer_relevancy,context_precision,context_recall
recursive_cs1000_co200_nomic-embed-text:latest_gemma3:4b,What was the change in compensation and benefits liability for Goldman Sachs in millions from December 2013 to December 2014?,494.0,$8368 - $7874 = $494 million,1.493900874000019,1.493900874000019,18,12.048992214459185,0.0,0.6499122255845853,0.249999999975,1.0
recursive_cs1000_co200_nomic-embed-text:latest_gemma3:4b,"What is the cumulative total return of an initial $100 investment in The Goldman Sachs Group, Inc. common stock over the five-year period from December 26, 2008, to December 31, 2013, with dividends r",148.36,"The graph compares the performance of an investment in The Goldman Sachs Group, Inc. common stock from December 26, 2008, through December 31, 2013, with the S&P 500 index and the S&P 500 financials index.",3.2288027949999787,3.2288027949999787,65,20.13130071017559,1.0,0.3877220942331525,0.0,0.0
recursive_cs1000_co200_nomic-embed-text:latest_gemma3:4b,What was the percentage reduction in second generation tenant improvements for Duke Realty Corporation in 2012 compared to 2011?,-0.4679805906667465,The provided text does not contain the specific percentage reduction in second generation tenant improvements for 2012 compared to 2011. It only states that expenditures were significantly reduced in 2012 as a result of repositioning investments.,2.6297745130000294,2.6297745130000294,52,19.773558433600737,1.0,0.0,0.9999999999,1.0
recursive_cs1000_co200_nomic-embed-text:latest_gemma3:4b,"Did Abiomed's cumulative total stockholder return surpass that of the NASDAQ Composite Index over the five-year period ending March 31, 2012?",1,"The context does not provide information about Abiomed’s cumulative total stockholder return compared to the NASDAQ Composite Index over the five-year period ending March 31, 2012.",2.3103998400000023,2.3103998400000023,40,17.313020589544344,1.0,0.0,0.0,0.0
recursive_cs1000_co200_nomic-embed-text:latest_gemma3:4b,"What percentage of the $22,258 million in total debt scheduled to mature as of December 31, 2001, is due in 2002 for AES Corporation?",0.12004672477311529,"The context does not provide information about AES Corporation or its debt schedule as of December 31, 2001.",1.7193235619999996,1.7193235619999996,27,15.703850396019877,1.0,0.0,0.249999999975,1.0
recursive_cs1000_co200_nomic-embed-text:latest_gemma3:4b,"What was the percentage change in net sales for Ball Corporation's discontinued operations, specifically the plastics packaging business, between 2009 and 2010, as reflected in the operating results t",-0.49834619625137816,The provided text does not contain information about the percentage change in net sales for Ball Corporation’s discontinued operations between 2009 and 2010.,2.089053751999984,2.089053751999984,35,16.753996859339917,1.0,0.0,0.0,0.0
recursive_cs1000_co200_nomic-embed-text:latest_gemma3:4b,What amount of interest expense was avoided per year by switching the 4.50% convertible senior notes due 2023 with the 4.25% convertible senior notes due 2023?,100000000.0,"The difference between fair value and carrying value will be amortized through march 15 , 2012 , resulting in a reduction of reported interest expense in future periods.",2.2862495319999994,2.2862495319999994,37,16.183710256523305,1.0,0.6281511212963317,0.9999999999,0.0
recursive_cs1000_co200_nomic-embed-text:latest_gemma3:4b,What percentage of the total potential impact on revenues from a 10% move in average exchange rates for major currencies would the Euro account for in 2017?,0.2692307692307692,$35 million,0.9606531050000058,0.9606531050000058,5,5.204792420881177,1.0,0.564965241631454,0.3333333333,1.0
recursive_cs1000_co200_nomic-embed-text:latest_gemma3:4b,By how much did Entergy Gulf States Louisiana's receivables from the money pool as of December 31 differ between 2009 and 2010?,12872.0,The context does not provide information about Entergy Gulf States Louisiana's receivables from the money pool. It only provides data for “system energy’s receivables.”,1.9584318969999686,1.9584318969999686,33,16.850215751975433,1.0,0.0,0.0,0.0
recursive_cs1000_co200_nomic-embed-text:latest_gemma3:4b,"What was the total percentage growth of Loews Corporation's common stock value from its initial $100 investment value on December 31, 2004, to its value on December 31, 2009, considering all dividends",1.6062,160.62%,1.3081428329999767,1.3081428329999767,8,6.115540136892791,0.0,0.6531851663747273,0.249999999975,0.0
recursive_cs1000_co200_nomic-embed-text:latest_gemma3:4b,"In the 2007 report of Motorola Solutions, what were the net sales to the top five customers of the segment in 2006, which included notable companies such as Sprint Nextel, Comcast Corporation, Verizon",2430.0,45%,0.9711334320000446,0.9711334320000446,4,4.118898462554234,0.5,0.4828960358940315,0.0,0.0
recursive_cs1000_co200_nomic-embed-text:latest_gemma3:4b,"What was the average segment net sales for Motorola Solutions from 2005 to 2007, in millions of dollars, as reported in the 2007 financial report?",6055.666666666667,$6.7 billion (calculated as ($5.4 billion + $7.7 billion) / 2).,1.6457749980000358,1.6457749980000358,25,15.190411830523784,0.0,0.7245582878063935,0.0,0.0
recursive_cs1000_co200_nomic-embed-text:latest_gemma3:4b,"What was the percentage change in commercial mortgage loans held for sale designated at fair value from 2008 to 2009, as reported by PNC Financial Services in their 2013 Form 10-K?",-0.08422301304863583,The context does not provide information about the percentage change in commercial mortgage loans held for sale from 2008 to 2009. It only provides data for 2011 and 2012.,2.604927179000015,2.604927179000015,48,18.42661875040451,0.5,0.0,0.0,0.0
recursive_cs1000_co200_nomic-embed-text:latest_gemma3:4b,What was the average total assets for Goldman Sachs in millions for the years 2012 and 2013?,925031.0,$924861.5 (average of $938555 and $911507),1.8705300099999818,1.8705300099999818,29,15.503627231300225,0.25,0.6746331007874069,0.99999999995,1.0
