config_name,question,ground_truth,answer,ttft_seconds,total_seconds,token_count,tokens_per_second,faithfulness,answer_relevancy,answer_correctness,context_precision,context_recall
recursive_cs1000_co200_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise,What was the change in compensation and benefits liability for Goldman Sachs in millions from December 2013 to December 2014?,494.0,"The provided context does not include specific figures for Goldman Sachs' compensation and benefits liability as of December 2013 and December 2014. Therefore, the change cannot be determined from the given information.",17.95609098299974,17.95609098299974,1124,62.59714327935672,1.0,0.0,0.10874348707672618,0.0,0.0
recursive_cs1000_co200_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise,"What is the cumulative total return of an initial $100 investment in The Goldman Sachs Group, Inc. common stock over the five-year period from December 26, 2008, to December 31, 2013, with dividends r",148.36,Not mentioned,4.947702516999925,4.947702516999925,302,61.03843126427898,1.0,0.0,0.0969157601156296,0.0,0.0
recursive_cs1000_co200_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise,What was the percentage reduction in second generation tenant improvements for Duke Realty Corporation in 2012 compared to 2011?,-0.4679805906667465,46.8,7.039440833999834,7.039440833999834,419,59.52177308974168,0.0,0.49018916890411846,0.9155258104918973,0.9999999999,1.0
recursive_cs1000_co200_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise,"Did Abiomed's cumulative total stockholder return surpass that of the NASDAQ Composite Index over the five-year period ending March 31, 2012?",1,The context does not provide information about Abiomed or the NASDAQ Composite Index.,4.021574492999207,4.021574492999207,238,59.18080105548524,1.0,0.0,0.10516131255151118,0.0,0.0
recursive_cs1000_co200_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise,"What percentage of the $22,258 million in total debt scheduled to mature as of December 31, 2001, is due in 2002 for AES Corporation?",0.12004672477311529,"The context does not provide data on debt maturities as of December 31, 2001. The available information starts from December 31, 2006, and other dates, but there is no mention of total debt or maturities for 2001 or 2002. Therefore, the question cannot be answered with the given context.",12.943117497999992,12.943117497999992,810,62.58152258334698,0.5,0.0,0.11347324374013577,0.0,0.0
recursive_cs1000_co200_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise,"What was the percentage change in net sales for Ball Corporation's discontinued operations, specifically the plastics packaging business, between 2009 and 2010, as reflected in the operating results t",-0.49834619625137816,"The context does not provide specific net sales figures for the plastics packaging business in 2009 and 2010, making it impossible to calculate the percentage change.",6.808729075000883,6.808729075000883,414,60.80429922231063,1.0,0.0,0.11190026617361118,0.19999999998,0.0
recursive_cs1000_co200_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise,What amount of interest expense was avoided per year by switching the 4.50% convertible senior notes due 2023 with the 4.25% convertible senior notes due 2023?,100000000.0,1.0,10.485835722998672,10.485835722998672,632,60.271781543728466,1.0,0.4779797689119003,0.17857645129960315,0.9999999999,0.0
recursive_cs1000_co200_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise,What percentage of the total potential impact on revenues from a 10% move in average exchange rates for major currencies would the Euro account for in 2017?,0.2692307692307692,26.92,5.783283855000263,5.783283855000263,341,58.96304047140437,1.0,0.577623770384116,0.1713105975797951,0.3333333333,1.0
recursive_cs1000_co200_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise,By how much did Entergy Gulf States Louisiana's receivables from the money pool as of December 31 differ between 2009 and 2010?,12872.0,0,19.91536846999952,19.91536846999952,1262,63.3681471623824,0.0,0.5343250133939347,0.1379391604577369,0.0,0.0
recursive_cs1000_co200_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise,"What was the total percentage growth of Loews Corporation's common stock value from its initial $100 investment value on December 31, 2004, to its value on December 31, 2009, considering all dividends",1.6062,"The context provided does not contain any information related to Loews Corporation's common stock performance or specific return data for the period from December 31, 2004, to December 31, 2009. Therefore, the total percentage growth cannot be determined from the given context.",6.179403566999099,6.179403566999099,371,60.03815675372188,1.0,0.0,0.11952402823726829,0.0,0.0
