config_name,question,ground_truth,answer,ttft_seconds,total_seconds,token_count,tokens_per_second,faithfulness,answer_relevancy,answer_correctness,context_precision,context_recall,answer_valid,custom_hit@1,custom_ndcg@1,custom_recall@1,custom_hit@3,custom_ndcg@3,custom_recall@3,custom_hit@5,custom_ndcg@5,custom_recall@5,custom_context_relevance,custom_vec_dist_q_gt,custom_vec_dist_q_answer,custom_rouge_l,custom_bleu,custom_meteor,custom_bert_score_precision,custom_bert_score_recall,custom_bert_score_f1
recursive_cs1000_co200_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise,In what year did Massachusetts first require children to be educated in schools?,1852,1852.,1.3229754269996192,1.3240968270001758,0,0,1.0,,,,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6224420518540573,0.5705468741257433,0.5566979476094055,1.0,0.0,0.5,0.9881905913352966,0.9956738948822021,0.9919181292838475
recursive_cs1000_co200_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise,When were stromules discovered?,1962,Stromules were first observed in 1962.,1.317921625000963,1.3198030620005738,0,0,1.0,,,,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.537462439636497,0.6405832343349422,0.4360802113292236,0.2857142857142857,0.0,0.3333333333333333,0.9607759118080139,0.9744559526443481,0.9675675805219948
recursive_cs1000_co200_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise,Which artist who had a major influence on the Gothic Revival is represented in the V&A's British galleries?,Horace Walpole,Horace Walpole.,0.9344398169996566,0.937095668999973,0,0,0.0,,,,,True,1.0,1.0,0.1,1.0,0.7653606369886217,0.2,1.0,0.830419897363192,0.4,0.5883424504872522,0.4311723859828702,0.44620307713740026,1.0,0.0,0.9375,0.9941795468330383,0.9984198212623596,0.9962951723712616
recursive_cs1000_co200_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise,"In 1890, who did the university decide to team up with?",several regional colleges and universities,I cannot answer from the provided context.,1.0154219129999547,1.0183228210007655,0,0,0.0,,,,,False,1.0,1.0,0.1111111111111111,1.0,1.0,0.3333333333333333,1.0,0.8687949224876582,0.4444444444444444,0.54989898126461,0.4659700749260104,0.5912682277897099,0.0,0.0,0.0,0.0,0.0,0.0
recursive_cs1000_co200_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise,Who got a touchdown making the score 10-7?,Jonathan Stewart,Jonathan Stewart.,1.0167459689982934,1.0182215069999074,0,0,1.0,,,,,True,1.0,1.0,0.08333333333333333,1.0,1.0,0.25,1.0,1.0,0.4166666666666667,0.5579310023455145,0.4151731059099395,0.4209663532830348,1.0,0.0,0.9375,0.9944308400154114,0.9982596039772034,0.9963415436945623
recursive_cs1000_co200_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise,How many Examination Boards exist in India?,30,I cannot answer from the provided context.,1.1398591670003952,1.1430339970011119,0,0,1.0,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5872897137814673,0.6187432495015572,0.4604562660510938,0.0,0.0,0.0,0.0,0.0,0.0
recursive_cs1000_co200_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise,Who started rumors in 2008 that ABC would sell its ten owned-and-operated stations?,Caris & Co.,Caris & Co. started rumors in 2008 that ABC would sell its ten owned-and-operated stations.,1.3971579210010532,1.4039940340007888,0,0,1.0,,,,,True,1.0,1.0,0.09090909090909091,1.0,0.7039180890341347,0.18181818181818182,1.0,0.7860137352654724,0.36363636363636365,0.6336484206307702,0.4508061355166967,0.018337874041945534,0.33333333333333337,0.0,0.701058201058201,0.9702154397964478,0.9899117350578308,0.9799646285299819
recursive_cs1000_co200_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise,Which network broadcasted the 50th Super Bowl game? ,CBS,CBS broadcasted the 50th Super Bowl game.,1.1284627320001164,1.1320462750009028,0,0,1.0,,,,,True,1.0,1.0,0.09090909090909091,1.0,1.0,0.2727272727272727,1.0,1.0,0.45454545454545453,0.5791426459196034,0.5211511785824013,0.07243961306376956,0.25,0.0,0.3125,0.9539243578910828,0.9850497841835022,0.9692372502323465
recursive_cs1000_co200_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise,Why was this short termed organization created?,coordinate the response to the embargo,To coordinate the response to the embargo.,1.3301144619999832,1.3327916029993503,0,0,1.0,,,,,True,0.0,0.0,0.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,0.5409840111211363,0.5745778994246111,0.5295846831809283,0.923076923076923,0.8091067115702212,0.9653916211293262,0.9897798895835876,0.985117495059967,0.9874431887642602
recursive_cs1000_co200_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise,What does LGM stands for?,Last Glacial Maximum,I cannot answer from the provided context.,1.1955234079996444,1.1979945780003618,0,0,1.0,,,,,False,1.0,1.0,0.08333333333333333,1.0,1.0,0.25,1.0,1.0,0.4166666666666667,0.5739176654560196,0.3055562701598704,0.4542245199286876,0.0,0.0,0.0,0.0,0.0,0.0
