config_name,question,ground_truth,answer,ttft_seconds,total_seconds,token_count,tokens_per_second,faithfulness,answer_relevancy,answer_correctness,context_precision,context_recall,answer_valid
semantic_cs500_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise_mmr-l0.5,what circuit court is maryland,The Circuit Courts of Maryland are the state trial courts of general jurisdiction in Maryland.,The Circuit Courts of Maryland are the state trial courts of general jurisdiction in Maryland.,1.1181932240000378,1.318159584,0,0,1.0,0.3559866493140218,1.0,0.9999999999,1.0,True
semantic_cs500_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise_mmr-l0.5,What happened during the Starving Time in Jamestown?,There is scientific evidence that the settlers at Jamestown had turned to cannibalism during the starving time.,I cannot answer from the provided context.,2.7050731779999637,2.807687421999958,0,0,1.0,0.0,0.12943022995334919,0.0,0.0,True
semantic_cs500_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise_mmr-l0.5,how many members are in the house of representatives,The total number of voting representatives is fixed by law at 435.,"Since 1913, the number of voting representatives has been at 435 pursuant to the Apportionment Act of 1911.",0.6630358329999808,1.17782884799999,0,0,1.0,0.6886607621909512,0.7126867404027424,0.9999999999,1.0,True
semantic_cs500_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise_mmr-l0.5,Where Elephants Live,"Elephants are scattered throughout sub-Saharan Africa , and South and Southeast Asia .",I cannot answer from the provided context.,2.199291599999981,2.4046849089999682,0,0,1.0,0.0,0.12977788095590756,0.0,0.0,True
semantic_cs500_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise_mmr-l0.5,WHAT IS A FY QUARTER,"A fiscal year (or financial year, or sometimes budget year) is a period used for calculating annual (""yearly"") financial statements in businesses and other organizations.",I cannot answer from the provided context.,0.4556734050000273,0.5252330100000222,0,0,1.0,0.0,0.11988070130807518,0.0,0.0,True
semantic_cs500_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise_mmr-l0.5,what is homebrew for wii,"In more general terms, Wii Homebrew refers to the use of the Wii 's hardware, accessories and software for purposes outside those intended by the manufacturer.",I cannot answer from the provided context.,2.66433430699999,2.7778676179999593,0,0,0.0,0.0,0.13112228669646722,0.0,0.0,True
semantic_cs500_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise_mmr-l0.5,Who was Daniel J Daly?,"Sergeant Major Daniel Joseph ""Dan"" Daly (November 11, 1873 – April 27, 1937) was a United States Marine and one of only nineteen men (including seven Marines) to have received the Medal of Honor twice",I cannot answer from the provided context.,0.4447028480000199,0.48021782699998994,0,0,1.0,0.0,0.12223296458135294,0.0,0.0,True
semantic_cs500_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise_mmr-l0.5,when did marlins start,The Miami Marlins began play in the 1993 season as the Florida Marlins.,I cannot answer from the provided context.,0.811622581999984,0.8739474150000319,0,0,0.0,0.0,0.09783819135520944,0.49999999995,0.0,True
semantic_cs500_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise_mmr-l0.5,what is the ingredient in mustard,"Mustard (or yellow sauce) is a condiment made from the seeds of a mustard plant (white or yellow mustard, Sinapis hirta ; brown or Indian mustard, Brassica juncea ; or black mustard, B. nigra ).","Mustard is made from the seeds of a mustard plant mixed with water, vinegar, lemon juice, wine, or other liquids, salt, and often other flavorings and spices.",0.7038566279999827,1.1135165599999937,0,0,1.0,0.8349283984002579,0.3486598781003672,0.99999999995,0.0,True
semantic_cs500_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise_mmr-l0.5,what were 3 important things that douglas MacArthur did?,"He officially accepted Japan's surrender on 2 September 1945, and oversaw the occupation of Japan from 1945 to 1951.",I cannot answer from the provided context.,0.764694913000028,0.8701141070000062,0,0,0.0,0.0,0.1231864002159171,0.0,0.0,True
semantic_cs500_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise_mmr-l0.5,what is active learning strategies,Active learning is an umbrella term that refers to several models of instruction that focus the responsibility of learning on learners.,"Active learning strategies include small-group work, role-play, simulations, data collection and analysis, learning through play, technology-based learning, activity-based learning, group work, and the project method.",0.6583540390000167,1.0961874960000273,0,0,1.0,0.9323306586908359,0.18921893515629204,0.0,0.0,True
semantic_cs500_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise_mmr-l0.5,what is the formula for calcium nitrate,"Calcium nitrate, also called Norgessalpeter (Norwegian saltpeter), is the inorganic compound with the formula Ca(NO3)2.",The formula for calcium nitrate is Ca(NO3)2(H2O)x.,0.5302623219999987,0.7373147639999615,0,0,1.0,0.9805316132272321,0.1930528745080104,0.9999999999,1.0,True
semantic_cs500_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise_mmr-l0.5,how long to take iwo jima,"The Battle of Iwo Jima (19 February – 26 March 1945), or Operation Detachment, was a major battle in which the United States Armed Forces fought for and captured the island of Iwo Jima from the Japane",The assault on Iwo Jima lasted 36 days.,0.7604980930000238,0.8323325549999936,0,0,1.0,0.49586919370631594,0.36942780140143283,0.0,0.0,True
semantic_cs500_co100_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise_mmr-l0.5,what species is a spider,Spiders ( order Araneae) are air-breathing arthropods that have eight legs and chelicerae with fangs that inject venom .,"Spiders belong to the order Araneae, which includes over 50,356 recorded species grouped into 132 families.",0.7958881249999763,4.081744438999976,0,0,0.3333333333333333,0.784238026872107,0.36718082059420515,0.9999999999,1.0,True
