config_name,question,ground_truth,answer,ttft_seconds,total_seconds,token_count,tokens_per_second,faithfulness,answer_relevancy,answer_correctness,context_precision,context_recall,answer_valid,custom_hit@1,custom_ndcg@1,custom_recall@1,custom_hit@3,custom_ndcg@3,custom_recall@3,custom_hit@5,custom_ndcg@5,custom_recall@5,custom_context_relevance,custom_rouge_l,custom_bleu,custom_meteor,custom_bert_score_precision,custom_bert_score_recall,custom_bert_score_f1
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise,In what year did Massachusetts first require children to be educated in schools?,1852,Massachusetts first required children to be educated in schools in 1852.,2.738366263998614,2.9352824359993974,0,0,1.0,,,,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6224420518540573,0.16666666666666669,0.0,0.25,0.9588834047317505,0.9848374128341675,0.971687130159174
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise,When were stromules discovered?,1962,Stromules were first observed in 1962.,0.7812589679997473,0.9434731559995271,0,0,1.0,,,,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.537462439636497,0.2857142857142857,0.0,0.3333333333333333,0.9607759118080139,0.9744558334350586,0.9675675217570514
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise,Which artist who had a major influence on the Gothic Revival is represented in the V&A's British galleries?,Horace Walpole,Horace Walpole is the patron represented in the galleries who was a major influence on the Gothic Revival.,1.421602784001152,1.6885492020010133,0,0,0.5,,,,,True,1.0,1.0,0.1,1.0,0.7653606369886217,0.2,1.0,0.830419897363192,0.4,0.5883424504872522,0.19999999999999998,0.0,0.5208333333333334,0.9689366817474365,0.9939641952514648,0.9812908847391121
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise,"In 1890, who did the university decide to team up with?",several regional colleges and universities,I cannot answer from the provided context.,0.9010159700010263,0.9612889560012263,0,0,0.0,,,,,False,1.0,1.0,0.1111111111111111,1.0,1.0,0.3333333333333333,1.0,0.8687949224876582,0.4444444444444444,0.54989898126461,0.0,0.0,0.0,0.0,0.0,0.0
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise,Who got a touchdown making the score 10-7?,Jonathan Stewart,"Jonathan Stewart finished the drive with a 1-yard touchdown run, cutting the score to 10–7.",1.5056106249976438,1.8287003000004916,0,0,1.0,,,,,True,1.0,1.0,0.08333333333333333,1.0,1.0,0.25,1.0,1.0,0.4166666666666667,0.5579310023455145,0.23529411764705882,0.0,0.5681818181818181,0.9557264447212219,0.9835977554321289,0.9694618215567966
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise,How many Examination Boards exist in India?,30,I cannot answer from the provided context.,0.8360252569982549,1.0372833809997246,0,0,1.0,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5872897137814673,0.0,0.0,0.0,0.0,0.0,0.0
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise,Who started rumors in 2008 that ABC would sell its ten owned-and-operated stations?,Caris & Co.,Caris & Co.,3.53847592099919,3.6001170439994894,0,0,1.0,,,,,True,1.0,1.0,0.09090909090909091,1.0,0.7039180890341347,0.18181818181818182,1.0,0.7860137352654724,0.36363636363636365,0.6336484206307702,1.0,0.0,0.9814814814814815,0.9999999403953552,0.9999999403953552,0.9999999403953552
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise,Which network broadcasted the 50th Super Bowl game? ,CBS,CBS broadcast Super Bowl 50 in the U.S.,0.8910120939981425,3.1598371750005754,0,0,1.0,,,,,True,1.0,1.0,0.09090909090909091,1.0,1.0,0.2727272727272727,1.0,1.0,0.45454545454545453,0.5791426459196034,0.2222222222222222,0.0,0.29411764705882354,0.9542853832244873,0.9846400022506714,0.9692250861480924
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise,Why was this short termed organization created?,coordinate the response to the embargo,It was created to coordinate the response to the embargo.,1.0422196360013913,1.1620796610004618,0,0,1.0,,,,,True,0.0,0.0,0.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,0.5409840111211363,0.7499999999999999,0.5169731539571706,0.9201388888888891,0.9859281182289124,0.982958972454071,0.9844413065572887
recursive_cs1000_co200_nomic-embed-text:latest_Qwen3.5-397B-A17B_concise,What does LGM stands for?,Last Glacial Maximum,I cannot answer from the provided context.,2.7938646570000856,2.8318540489999577,0,0,1.0,,,,,False,1.0,1.0,0.08333333333333333,1.0,1.0,0.25,1.0,1.0,0.4166666666666667,0.5739176654560196,0.0,0.0,0.0,0.0,0.0,0.0
