config_name,question,ground_truth,answer,ttft_seconds,total_seconds,token_count,tokens_per_second,faithfulness,answer_relevancy,answer_correctness,context_precision,context_recall,answer_valid,custom_hit@1,custom_ndcg@1,custom_recall@1,custom_hit@3,custom_ndcg@3,custom_recall@3,custom_hit@5,custom_ndcg@5,custom_recall@5,custom_context_relevance,custom_vec_dist_q_gt,custom_vec_dist_q_answer,custom_rouge_l,custom_bleu,custom_meteor,custom_bert_score_precision,custom_bert_score_recall,custom_bert_score_f1
semantic_cs1000_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise_mmr-l0.5,In what year did Massachusetts first require children to be educated in schools?,1852,1852.,0.7057333729990205,0.7075626829991961,0,0,1.0,,,,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7003278956409457,0.5705468741257433,0.5566979476094055,1.0,0.0,0.5,0.9881905913352966,0.9956738948822021,0.9919181292838475
semantic_cs1000_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise_mmr-l0.5,When were stromules discovered?,1962,Stromules were discovered in 1962.,0.5769052920004469,0.5804409770007624,0,0,1.0,,,,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667022248481247,0.6405832343349422,0.3468341120096199,0.33333333333333337,0.0,0.35714285714285715,0.9619990587234497,0.9746031761169434,0.968260101311568
semantic_cs1000_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise_mmr-l0.5,Which artist who had a major influence on the Gothic Revival is represented in the V&A's British galleries?,Horace Walpole,Horace Walpole.,0.5633525069988536,0.5642366079991916,0,0,0.0,,,,,True,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.7421303898556236,0.4311723859828702,0.44620307713740026,1.0,0.0,0.9375,0.9941795468330383,0.9984198212623596,0.9962951723712616
semantic_cs1000_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise_mmr-l0.5,"In 1890, who did the university decide to team up with?",several regional colleges and universities,I cannot answer from the provided context.,0.5762048839987983,0.5773597930001415,0,0,0.0,,,,,False,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.641196700890773,0.4659700749260104,0.5912682277897099,0.0,0.0,0.0,0.0,0.0,0.0
semantic_cs1000_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise_mmr-l0.5,Who got a touchdown making the score 10-7?,Jonathan Stewart,Carolina.,0.6683874230002402,0.6690319160006766,0,0,1.0,,,,,True,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.6852716193447509,0.4151731059099395,0.38932684441446097,0.0,0.0,0.0,0.9799275994300842,0.9832937717437744,0.9816077997391559
semantic_cs1000_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise_mmr-l0.5,How many Examination Boards exist in India?,30,I cannot answer from the provided context.,0.6362680620004539,0.6377696550007386,0,0,1.0,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6231168332981922,0.6187432495015572,0.4604562660510938,0.0,0.0,0.0,0.0,0.0,0.0
semantic_cs1000_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise_mmr-l0.5,Who started rumors in 2008 that ABC would sell its ten owned-and-operated stations?,Caris & Co.,Caris & Co.,0.3965263350000896,0.39769326799978444,0,0,1.0,,,,,True,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.7257501516098636,0.4508061355166967,0.4508061355166967,1.0,0.0,0.9814814814814815,0.9999998211860657,0.9999998211860657,0.9999998211860657
semantic_cs1000_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise_mmr-l0.5,Which network broadcasted the 50th Super Bowl game? ,CBS,CBS broadcasted the 50th Super Bowl game.,0.537261811999997,0.5394890229999874,0,0,1.0,,,,,True,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.6400787967227505,0.5211511785824013,0.07243961306376956,0.25,0.0,0.3125,0.9539243578910828,0.9850497841835022,0.9692372502323465
semantic_cs1000_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise_mmr-l0.5,Why was this short termed organization created?,coordinate the response to the embargo,To coordinate the response to the embargo.,0.4540134319995559,0.4569893959996989,0,0,1.0,,,,,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5760744812404885,0.5745778994246111,0.5295846831809283,0.923076923076923,0.8091067115702212,0.9653916211293262,0.9897798895835876,0.985117495059967,0.9874431887642602
semantic_cs1000_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise_mmr-l0.5,What does LGM stands for?,Last Glacial Maximum,I cannot answer from the provided context.,0.6200522640010604,0.6211838290000742,0,0,0.0,,,,,False,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.6396022033595113,0.3055562701598704,0.4542245199286876,0.0,0.0,0.0,0.0,0.0,0.0
