config_name,question,ground_truth,answer,ttft_seconds,total_seconds,token_count,tokens_per_second,faithfulness,answer_relevancy,answer_correctness,context_precision,context_recall,answer_valid,custom_hit@1,custom_ndcg@1,custom_recall@1,custom_hit@3,custom_ndcg@3,custom_recall@3,custom_hit@5,custom_ndcg@5,custom_recall@5,custom_context_relevance,custom_rouge_l,custom_bleu,custom_meteor,custom_bert_score_precision,custom_bert_score_recall,custom_bert_score_f1
recursive_cs1000_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_detailed,what circuit court is maryland,The Circuit Courts of Maryland are the state trial courts of general jurisdiction in Maryland.,"Maryland is divided into eight judicial circuits, each of which includes two or more counties, with the exception of the Eighth Circuit, which consists solely of Baltimore City. Each of these circuits has its own Circuit Court. The Circuit Courts of Maryland are the state's trial courts of general jurisdiction and serve as the highest courts of record in the state for original jurisdiction in civil and criminal matters. They handle a wide range of cases, including divorce, family law, and cases ",2.042688250000083,3.1601653870002337,0,0,0.9166666666666666,,,,,True,1.0,1.0,0.125,1.0,1.0,0.375,1.0,1.0,0.625,0.5782565103867443,0.21875,0.08647197994193251,0.485573476702509,0.9467307329177856,0.9870907068252563,0.9664895518514715
recursive_cs1000_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_detailed,What happened during the Starving Time in Jamestown?,There is scientific evidence that the settlers at Jamestown had turned to cannibalism during the starving time.,"The provided context does not mention or provide information about the Starving Time in Jamestown. Therefore, it is not possible to answer the question based on the given context.",1.2568123380001452,1.2626624800000172,0,0,1.0,,,,,False,1.0,1.0,0.125,1.0,1.0,0.375,1.0,1.0,0.625,0.70423496348733,0.0,0.0,0.0,0.0,0.0,0.0
recursive_cs1000_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_detailed,how many members are in the house of representatives,The total number of voting representatives is fixed by law at 435.,"The United States House of Representatives has 435 voting members. This number has been fixed since 1911 pursuant to the Apportionment Act of 1911 and was later reinforced by the Reapportionment Act of 1929. The number was temporarily increased to 437 in 1959 when Alaska and Hawaii were admitted to the Union, but it returned to 435 in 1963 after reapportionment following the 1960 census. In addition to these voting members, there are five non-voting delegates representing the District of Columbi",2.1199815270001636,3.0252052710002317,0,0,0.8571428571428571,,,,,True,1.0,1.0,0.125,1.0,1.0,0.375,1.0,1.0,0.625,0.6433506087671402,0.11214953271028039,0.0,0.3109605911330049,0.9477253556251526,0.9768906235694885,0.9620870071095255
recursive_cs1000_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_detailed,Where Elephants Live,"Elephants are scattered throughout sub-Saharan Africa , and South and Southeast Asia .","The provided context does not contain any information about where elephants live. Therefore, it is not possible to answer the question based on the given context.",1.1565899319998607,1.1614354519997505,0,0,1.0,,,,,False,1.0,1.0,0.125,1.0,1.0,0.375,1.0,1.0,0.625,0.7235408601078903,0.0,0.0,0.0,0.0,0.0,0.0
recursive_cs1000_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_detailed,WHAT IS A FY QUARTER,"A fiscal year (or financial year, or sometimes budget year) is a period used for calculating annual (""yearly"") financial statements in businesses and other organizations.","The provided context does not contain information about fiscal quarters (FY quarters). Therefore, I cannot provide an answer based on the given context.",1.17090101399981,1.1754467629998544,0,0,0.6666666666666666,,,,,False,1.0,1.0,0.125,1.0,1.0,0.375,1.0,1.0,0.625,0.7170013936861999,0.0,0.0,0.0,0.0,0.0,0.0
recursive_cs1000_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_detailed,what is homebrew for wii,"In more general terms, Wii Homebrew refers to the use of the Wii 's hardware, accessories and software for purposes outside those intended by the manufacturer.","Homebrew for the Wii refers to unofficial software or applications developed by enthusiasts and independent programmers that are not officially sanctioned by Nintendo. These applications can include games, tools, media players, and other utilities that extend the functionality of the Wii console beyond what is provided by official software. 

On the Wii, homebrew applications are typically run through the **Homebrew Channel**, a custom application that allows users to launch these unofficial pro",1.8465291219999926,3.730053723999845,0,0,0.4,,,,,True,1.0,1.0,0.125,1.0,1.0,0.375,1.0,1.0,0.625,0.6026023358014256,0.10404624277456648,0.0,0.34448818897637795,0.9447986483573914,0.9648483991622925,0.9547182706692614
recursive_cs1000_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_detailed,Who was Daniel J Daly?,"Sergeant Major Daniel Joseph ""Dan"" Daly (November 11, 1873 – April 27, 1937) was a United States Marine and one of only nineteen men (including seven Marines) to have received the Medal of Honor twice","The provided context does not mention Daniel J. Daly, so no information can be given about him based on the given text.",1.0561540469998363,1.060488781999993,0,0,1.0,,,,,False,1.0,1.0,0.125,1.0,1.0,0.375,1.0,1.0,0.625,0.6544069832947453,0.0,0.0,0.0,0.0,0.0,0.0
recursive_cs1000_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_detailed,when did marlins start,The Miami Marlins began play in the 1993 season as the Florida Marlins.,"The Florida Marlins, now known as the Miami Marlins, started as a Major League Baseball team in 1993. They were established as an expansion team and began play in the 1993 season.",1.6767714860002343,1.6841741210000691,0,0,0.0,,,,,True,1.0,1.0,0.125,1.0,1.0,0.375,1.0,1.0,0.625,0.5147107423090049,0.4,0.22818980286180746,0.8295937413128947,0.9755647778511047,0.9916512966156006,0.9835422650771266
recursive_cs1000_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_detailed,what is the ingredient in mustard,"Mustard (or yellow sauce) is a condiment made from the seeds of a mustard plant (white or yellow mustard, Sinapis hirta ; brown or Indian mustard, Brassica juncea ; or black mustard, B. nigra ).","The primary ingredient in mustard is the seeds of the mustard plant, which can be white/yellow mustard (Sinapis alba), brown mustard (Brassica juncea), or black mustard (Brassica nigra). These whole, ground, cracked, or bruised mustard seeds are mixed with liquids such as water, vinegar, lemon juice, wine, or other acidic substances. Additional ingredients often include salt and various flavorings or spices to create a paste or sauce. The taste of mustard can range from sweet to spicy, depending",1.9876885170001515,2.6086211730003015,0,0,1.0,,,,,True,1.0,1.0,0.125,1.0,1.0,0.375,1.0,1.0,0.625,0.686825847809166,0.28813559322033894,0.08834799792001209,0.5594502795103262,0.9595677256584167,0.9775679111480713,0.9684841880493582
recursive_cs1000_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_detailed,what were 3 important things that douglas MacArthur did?,"He officially accepted Japan's surrender on 2 September 1945, and oversaw the occupation of Japan from 1945 to 1951.","The provided context does not mention Douglas MacArthur or any of his accomplishments. Therefore, based on the given information, it is not possible to answer the question about three important things that Douglas MacArthur did.",1.5725436570000966,1.5794947489998776,0,0,1.0,,,,,False,1.0,1.0,0.125,1.0,1.0,0.375,1.0,1.0,0.625,0.5605692706397151,0.0,0.0,0.0,0.0,0.0,0.0
