config_name,question,ground_truth,answer,ttft_seconds,total_seconds,token_count,tokens_per_second,faithfulness,answer_relevancy,answer_correctness,context_precision,context_recall,answer_valid,custom_hit@1,custom_ndcg@1,custom_recall@1,custom_hit@3,custom_ndcg@3,custom_recall@3,custom_hit@5,custom_ndcg@5,custom_recall@5,custom_context_relevance,custom_rouge_l,custom_bleu,custom_meteor,custom_bert_score_precision,custom_bert_score_recall,custom_bert_score_f1
semantic_cs500_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise_mmr-l0.5,what circuit court is maryland,The Circuit Courts of Maryland are the state trial courts of general jurisdiction in Maryland.,The Circuit Courts of Maryland are the state trial courts of general jurisdiction in Maryland.,1.5233263689999887,1.5256974859999985,0,0,1.0,,,,,True,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.5794811542630991,1.0,1.0,0.9998518518518519,1.0,1.0,1.0
semantic_cs500_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise_mmr-l0.5,What happened during the Starving Time in Jamestown?,There is scientific evidence that the settlers at Jamestown had turned to cannibalism during the starving time.,I cannot answer from the provided context.,1.1663857960000001,1.1675911869999993,0,0,1.0,,,,,True,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.6926494716412425,0.08333333333333333,0.0,0.03125,0.9816238880157471,0.9691262245178223,0.9753350225402956
semantic_cs500_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise_mmr-l0.5,how many members are in the house of representatives,The total number of voting representatives is fixed by law at 435.,The total number of voting representatives is fixed at 435.,1.0425050709999937,1.044277221999991,0,0,1.0,,,,,True,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.6576353537310567,0.9090909090909091,0.6801211491388693,0.8470338983050848,0.9985743761062622,0.9948276281356812,0.9966974809746286
semantic_cs500_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise_mmr-l0.5,Where Elephants Live,"Elephants are scattered throughout sub-Saharan Africa , and South and Southeast Asia .",I cannot answer from the provided context.,0.7094464740000035,0.7106042230000043,0,0,1.0,,,,,True,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.6983977369200813,0.0,0.0,0.0,0.9780408143997192,0.9590268135070801,0.9684404944882615
semantic_cs500_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise_mmr-l0.5,WHAT IS A FY QUARTER,"A fiscal year (or financial year, or sometimes budget year) is a period used for calculating annual (""yearly"") financial statements in businesses and other organizations.",I cannot answer from the provided context.,0.7083251610000048,0.7099044229999976,0,0,1.0,,,,,True,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.6977772632562337,0.0,0.0,0.0,0.9793403148651123,0.9455194473266602,0.9621327552731325
semantic_cs500_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise_mmr-l0.5,what is homebrew for wii,"In more general terms, Wii Homebrew refers to the use of the Wii 's hardware, accessories and software for purposes outside those intended by the manufacturer.",I cannot answer from the provided context.,0.9318572589999974,0.9333707849999939,0,0,0.0,,,,,True,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.560692836809722,0.060606060606060615,0.0,0.02074688796680498,0.9798051118850708,0.9511831402778625,0.9652820022485624
semantic_cs500_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise_mmr-l0.5,Who was Daniel J Daly?,"Sergeant Major Daniel Joseph ""Dan"" Daly (November 11, 1873 – April 27, 1937) was a United States Marine and one of only nineteen men (including seven Marines) to have received the Medal of Honor twice",I cannot answer from the provided context.,0.9711559889999961,0.9731752389999997,0,0,1.0,,,,,True,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.6538025275845792,0.04761904761904761,0.0,0.015527950310559008,0.9766355752944946,0.9415708184242249,0.9587827054934678
semantic_cs500_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise_mmr-l0.5,when did marlins start,The Miami Marlins began play in the 1993 season as the Florida Marlins.,The Florida Marlins started in 1993.,1.1351461609999944,1.1372816720000003,0,0,0.0,,,,,True,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.5095858809819088,0.42105263157894735,0.0,0.3934959349593496,0.9927746057510376,0.9832717776298523,0.9880003420895802
semantic_cs500_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise_mmr-l0.5,what is the ingredient in mustard,"Mustard (or yellow sauce) is a condiment made from the seeds of a mustard plant (white or yellow mustard, Sinapis hirta ; brown or Indian mustard, Brassica juncea ; or black mustard, B. nigra ).","The ingredients in mustard include mustard seeds (from white/yellow mustard, Sinapis alba; brown mustard, Brassica juncea; or black mustard, Brassica nigra), water, vinegar, lemon juice, wine, or other liquids, salt, and often other flavorings and spices.",1.702165936,1.713344549999988,0,0,1.0,,,,,True,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.67836035694625,0.35294117647058826,0.16895547485073306,0.47315055941358025,0.9769113063812256,0.979944109916687,0.9784253579760186
semantic_cs500_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise_mmr-l0.5,what were 3 important things that douglas MacArthur did?,"He officially accepted Japan's surrender on 2 September 1945, and oversaw the occupation of Japan from 1945 to 1951.",I cannot answer from the provided context.,0.7629293689999912,0.7651426559999948,0,0,0.0,,,,,True,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.5480166036159573,0.07692307692307693,0.0,0.1053370786516854,0.9783751964569092,0.9524046778678894,0.9652152751398788
