config_name,question,ground_truth,answer,ttft_seconds,total_seconds,token_count,tokens_per_second,faithfulness,answer_relevancy,answer_correctness,context_precision,context_recall
recursive_cs1000_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise,What was the change in compensation and benefits liability for Goldman Sachs in millions from December 2013 to December 2014?,494.0,494.0,0.4920885380015534,0.4920885380015534,6,12.192927769394743,0.0,0.4311280864903489,1.0,0.249999999975,1.0
recursive_cs1000_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise,"What is the cumulative total return of an initial $100 investment in The Goldman Sachs Group, Inc. common stock over the five-year period from December 26, 2008, to December 31, 2013, with dividends r",148.36,185.0,0.18566866999753984,0.18566866999753984,6,32.31562977253783,0.0,0.5263796199235062,0.15611419296970477,0.0,0.0
recursive_cs1000_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise,What was the percentage reduction in second generation tenant improvements for Duke Realty Corporation in 2012 compared to 2011?,-0.4679805906667465,63.8,0.2647022810015187,0.2647022810015187,5,18.889145877708977,0.0,0.49018916890411846,0.14167034439673293,0.9999999999,1.0
recursive_cs1000_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise,"Did Abiomed's cumulative total stockholder return surpass that of the NASDAQ Composite Index over the five-year period ending March 31, 2012?",1,1,0.443196137999621,0.443196137999621,2,4.5126747020564295,0.0,0.5151687671122235,1.0,0.0,0.0
recursive_cs1000_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise,"What percentage of the $22,258 million in total debt scheduled to mature as of December 31, 2001, is due in 2002 for AES Corporation?",0.12004672477311529,11.99,0.6727513330006332,0.6727513330006332,6,8.91859994277314,0.0,0.5079389375540242,0.876967174489566,0.19999999998,1.0
recursive_cs1000_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise,"What was the percentage change in net sales for Ball Corporation's discontinued operations, specifically the plastics packaging business, between 2009 and 2010, as reflected in the operating results t",-0.49834619625137816,-384,0.4582278130001214,0.4582278130001214,5,10.911603045794768,0.0,0.5861534479559801,0.14382417617807905,0.0,0.0
recursive_cs1000_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise,What amount of interest expense was avoided per year by switching the 4.50% convertible senior notes due 2023 with the 4.25% convertible senior notes due 2023?,100000000.0,1.25,0.6726829140025075,0.6726829140025075,5,7.432922549273137,0.0,0.48764159504098253,0.12024462518319258,0.9999999999,0.0
recursive_cs1000_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise,What percentage of the total potential impact on revenues from a 10% move in average exchange rates for major currencies would the Euro account for in 2017?,0.2692307692307692,0.269,0.5549684120014717,0.5549684120014717,6,10.811426146510279,0.0,0.577623770384116,0.9457260591826238,0.3333333333,1.0
recursive_cs1000_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise,By how much did Entergy Gulf States Louisiana's receivables from the money pool as of December 31 differ between 2009 and 2010?,12872.0,6575000,0.6627911610012234,0.6627911610012234,8,12.070167000892207,0.0,0.4976904845605474,0.15878847951273256,0.0,0.0
recursive_cs1000_co100_nomic-embed-text:latest_Qwen/Qwen3-32B-AWQ_concise,"What was the total percentage growth of Loews Corporation's common stock value from its initial $100 investment value on December 31, 2004, to its value on December 31, 2009, considering all dividends",1.6062,60.62,0.6617067740007769,0.6617067740007769,6,9.067460445845391,1.0,0.600767530078718,0.9409275783045463,0.19999999998,0.0
